Summary of parameters for genome-wide cytosine report:
==============================================================================
Coverage infile:				output/25-meth-extract/93M_pe.deduplicated.bismark.cov.gz
Output directory:				><
Parent directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/<
Genome directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/output/22-genome-prep/<
Coverage threshold				0 (all positions will be reported, default)
CX context:					no (CpG context only, default)
Pooling CpG top/bottom strand evidence:		yes
Genome coordinates used:			0-based (user specified)
GZIP compression:				no
chr NW_026963386.1 (25234 bp)
chr NW_026963387.1 (66105 bp)
chr NW_026963388.1 (30312 bp)
chr NW_026963389.1 (32428 bp)
chr NW_026963390.1 (25381 bp)
chr NW_026963391.1 (26017 bp)
chr NW_026963392.1 (25685 bp)
chr NW_026963393.1 (19274 bp)
chr NW_026963394.1 (27950 bp)
chr NW_026963395.1 (45255 bp)
chr NW_026963396.1 (63704 bp)
chr NW_026963397.1 (22806 bp)
chr NW_026963398.1 (24645 bp)
chr NW_026963399.1 (50812 bp)
chr NW_026963400.1 (70378 bp)
chr NW_026963401.1 (21165 bp)
chr NW_026963402.1 (95337 bp)
chr NW_026963403.1 (32744 bp)
chr NW_026963404.1 (32390 bp)
chr NW_026963405.1 (20760 bp)
chr NW_026963406.1 (17091 bp)
chr NW_026963407.1 (25441 bp)
chr NW_026963408.1 (32110 bp)
chr NW_026963409.1 (25245 bp)
chr NW_026963410.1 (26685 bp)
chr NW_026963411.1 (26243 bp)
chr NW_026963412.1 (23891 bp)
chr NW_026963413.1 (32257 bp)
chr NW_026963414.1 (35770 bp)
chr NW_026963415.1 (28815 bp)
chr NW_026963416.1 (33904 bp)
chr NW_026963417.1 (59749 bp)
chr NW_026963418.1 (81418 bp)
chr NW_026963419.1 (107657 bp)
chr NW_026963420.1 (30761 bp)
chr NW_026963421.1 (23947 bp)
chr NW_026963422.1 (18164 bp)
chr NW_026963423.1 (25693 bp)
chr NW_026963424.1 (91214 bp)
chr NW_026963425.1 (28588 bp)
chr NW_026963426.1 (22706 bp)
chr NW_026963427.1 (31282 bp)
chr NW_026963428.1 (29918 bp)
chr NW_026963429.1 (18537 bp)
chr NW_026963430.1 (19656 bp)
chr NW_026963431.1 (24459 bp)
chr NW_026963432.1 (22327 bp)
chr NW_026963433.1 (105369 bp)
chr NW_026963434.1 (26908 bp)
chr NW_026963435.1 (28497 bp)
chr NW_026963436.1 (36282 bp)
chr NW_026963437.1 (23739 bp)
chr NW_026963438.1 (24630 bp)
chr NW_026963439.1 (34452 bp)
chr NW_026963440.1 (33196 bp)
chr NW_026963441.1 (21370 bp)
chr NW_026963442.1 (20837 bp)
chr NW_026963443.1 (56464 bp)
chr NW_026963444.1 (22596 bp)
chr NW_026963445.1 (89992 bp)
chr NW_026963446.1 (20471 bp)
chr NW_026963447.1 (25005 bp)
chr NW_026963448.1 (22800 bp)
chr NW_026963449.1 (48946 bp)
chr NW_026963450.1 (23621 bp)
chr NW_026963451.1 (69983 bp)
chr NW_026963452.1 (26246 bp)
chr NW_026963453.1 (73232 bp)
chr NW_026963454.1 (23625 bp)
chr NW_026963455.1 (21431 bp)
chr NW_026963456.1 (20408 bp)
chr NW_026963457.1 (23150 bp)
chr NW_026963458.1 (20814 bp)
chr NW_026963459.1 (33799 bp)
chr NW_026963460.1 (22951 bp)
chr NW_026963461.1 (39207 bp)
chr NW_026963462.1 (16320 bp)
chr NW_026963463.1 (19723 bp)
chr NW_026963464.1 (19884 bp)
chr NW_026963465.1 (17047 bp)
chr NW_026963466.1 (28987 bp)
chr NW_026963467.1 (26703 bp)
chr NW_026963468.1 (27006 bp)
chr NW_026963469.1 (21377 bp)
chr NW_026963470.1 (31960 bp)
chr NW_026963471.1 (89899 bp)
chr NW_026963472.1 (52362 bp)
chr NW_026963473.1 (46928 bp)
chr NW_026963474.1 (24695 bp)
chr NW_026963475.1 (38188 bp)
chr NW_026963476.1 (22631 bp)
chr NW_026963477.1 (17795 bp)
chr NW_026963478.1 (20901 bp)
chr NW_026963479.1 (26325 bp)
chr NW_026963480.1 (22825 bp)
chr NW_026963481.1 (23040 bp)
chr NW_026963482.1 (21352 bp)
chr NW_026963483.1 (19517 bp)
chr NW_026963484.1 (43699 bp)
chr NW_026963485.1 (14016 bp)
chr NW_026963486.1 (13954 bp)
chr NW_026963487.1 (25855 bp)
chr NW_026963488.1 (21550 bp)
chr NW_026963489.1 (33800 bp)
chr NW_026963490.1 (20306 bp)
chr NW_026963491.1 (32733 bp)
chr NW_026963492.1 (41996 bp)
chr NW_026963493.1 (27834 bp)
chr NW_026963494.1 (23165 bp)
chr NW_026963495.1 (21648 bp)
chr NW_026963496.1 (27514 bp)
chr NW_026963497.1 (22988 bp)
chr NW_026963498.1 (27759 bp)
chr NW_026963499.1 (31922 bp)
chr NW_026963500.1 (55274 bp)
chr NW_026963501.1 (19548 bp)
chr NW_026963502.1 (19545 bp)
chr NW_026963503.1 (31769 bp)
chr NW_026963504.1 (20921 bp)
chr NW_026963505.1 (26440 bp)
chr NW_026963506.1 (36130 bp)
chr NW_026963507.1 (50233 bp)
chr NW_026963508.1 (37121 bp)
chr NW_026963509.1 (15802 bp)
chr NW_026963510.1 (21446 bp)
chr NW_026963511.1 (16917 bp)
chr NW_026963512.1 (24391 bp)
chr NW_026963513.1 (19462 bp)
chr NW_026963514.1 (24066 bp)
chr NW_026963515.1 (17459 bp)
chr NW_026963516.1 (18652 bp)
chr NW_026963517.1 (8618 bp)
chr NW_026963518.1 (20873 bp)
chr NW_026963519.1 (32632 bp)
chr NW_026963520.1 (36645 bp)
chr NW_026963521.1 (23952 bp)
chr NW_026963522.1 (22556 bp)
chr NW_026963523.1 (15718 bp)
chr NW_026963524.1 (50340 bp)
chr NW_026963525.1 (23212 bp)
chr NW_026963526.1 (18080 bp)
chr NW_026963527.1 (24976 bp)
chr NW_026963528.1 (20932 bp)
chr NW_026963529.1 (20070 bp)
chr NW_026963530.1 (43040 bp)
chr NW_026963531.1 (22373 bp)
chr NW_026963532.1 (21610 bp)
chr NW_026963533.1 (25225 bp)
chr NW_026963534.1 (22597 bp)
chr NW_026963535.1 (18239 bp)
chr NW_026963536.1 (19511 bp)
chr NW_026963537.1 (25744 bp)
chr NW_026963538.1 (33248 bp)
chr NW_026963539.1 (16194 bp)
chr NW_026963540.1 (29982 bp)
chr NW_026963541.1 (38121 bp)
chr NW_026963542.1 (23886 bp)
chr NW_026963543.1 (22120 bp)
chr NW_026963544.1 (40706 bp)
chr NW_026963545.1 (22511 bp)
chr NW_026963546.1 (29792 bp)
chr NW_026963547.1 (15422 bp)
chr NW_026963548.1 (28602 bp)
chr NW_026963549.1 (29363 bp)
chr NW_026963550.1 (42899 bp)
chr NW_026963551.1 (28569 bp)
chr NW_026963552.1 (47249 bp)
chr NW_026963553.1 (40295 bp)
chr NW_026963554.1 (23298 bp)
chr NW_026963555.1 (17778 bp)
chr NW_026963556.1 (40663 bp)
chr NW_026963557.1 (19240 bp)
chr NW_026963558.1 (53464 bp)
chr NW_026963559.1 (20496 bp)
chr NW_026963560.1 (18775 bp)
chr NW_026963561.1 (22720 bp)
chr NW_026963562.1 (29987 bp)
chr NW_026963563.1 (17061 bp)
chr NW_026963564.1 (19136 bp)
chr NW_026963565.1 (18594 bp)
chr NW_026963566.1 (21889 bp)
chr NW_026963567.1 (42002 bp)
chr NW_026963568.1 (28438 bp)
chr NW_026963569.1 (27574 bp)
chr NW_026963570.1 (26209 bp)
chr NW_026963571.1 (32307 bp)
chr NW_026963572.1 (23566 bp)
chr NW_026963573.1 (20539 bp)
chr NW_026963574.1 (19425 bp)
chr NW_026963575.1 (32111 bp)
chr NW_026963576.1 (34506 bp)
chr NW_026963577.1 (20176 bp)
chr NW_026963578.1 (24377 bp)
chr NW_026963579.1 (55969 bp)
chr NW_026963580.1 (27671 bp)
chr NW_026963581.1 (24138 bp)
chr NW_026963582.1 (97536 bp)
chr NW_026963583.1 (63607 bp)
chr NW_026963584.1 (34460 bp)
chr NW_026963585.1 (49376 bp)
chr NW_026963586.1 (27685 bp)
chr NW_026963587.1 (24514 bp)
chr NW_026963588.1 (48354 bp)
chr NW_026963589.1 (26316 bp)
chr NW_026963590.1 (22686 bp)
chr NW_026963591.1 (23266 bp)
chr NW_026963592.1 (19131 bp)
chr NW_026963593.1 (17046 bp)
chr NW_026963594.1 (23204 bp)
chr NW_026963595.1 (23624 bp)
chr NW_026963596.1 (19410 bp)
chr NW_026963597.1 (4560 bp)
chr NW_026963598.1 (29441 bp)
chr NW_026963599.1 (40152 bp)
chr NW_026963600.1 (21122 bp)
chr NW_026963601.1 (36140 bp)
chr NW_026963602.1 (18515 bp)
chr NW_026963603.1 (20142 bp)
chr NW_026963604.1 (25383 bp)
chr NW_026963605.1 (28494 bp)
chr NW_026963606.1 (18177 bp)
chr NW_026963607.1 (18627 bp)
chr NW_026963608.1 (22139 bp)
chr NW_026963609.1 (25457 bp)
chr NW_026963610.1 (20696 bp)
chr NW_026963611.1 (20121 bp)
chr NW_026963612.1 (23855 bp)
chr NW_026963613.1 (19683 bp)
chr NW_026963614.1 (17735 bp)
chr NW_026963615.1 (24639 bp)
chr NW_026963616.1 (36520 bp)
chr NW_026963617.1 (29370 bp)
chr NW_026963618.1 (25732 bp)
chr NW_026963619.1 (23735 bp)
chr NW_026963620.1 (21397 bp)
chr NW_026963621.1 (21572 bp)
chr NW_026963622.1 (25321 bp)
chr NW_026963623.1 (18363 bp)
chr NW_026963624.1 (20416 bp)
chr NW_026963625.1 (20064 bp)
chr NW_026963626.1 (37124 bp)
chr NW_026963627.1 (23433 bp)
chr NW_026963628.1 (24267 bp)
chr NW_026963629.1 (25181 bp)
chr NW_026963630.1 (20211 bp)
chr NW_026963631.1 (26376 bp)
chr NW_026963632.1 (20626 bp)
chr NW_026963633.1 (32619 bp)
chr NW_026963634.1 (21163 bp)
chr NW_026963635.1 (18606 bp)
chr NW_026963636.1 (18842 bp)
chr NW_026963637.1 (25787 bp)
chr NW_026963638.1 (21305 bp)
chr NW_026963639.1 (24239 bp)
chr NW_026963640.1 (24465 bp)
chr NW_026963641.1 (26936 bp)
chr NW_026963642.1 (22173 bp)
chr NW_026963643.1 (33930 bp)
chr NW_026963644.1 (30601 bp)
chr NW_026963645.1 (27131 bp)
chr NW_026963646.1 (21725 bp)
chr NW_026963647.1 (17559 bp)
chr NW_026963648.1 (26423 bp)
chr NW_026963649.1 (23991 bp)
chr NW_026963650.1 (21075 bp)
chr NW_026963651.1 (37035 bp)
chr NW_026963652.1 (20328 bp)
chr NW_026963653.1 (17920 bp)
chr NW_026963654.1 (25257 bp)
chr NW_026963655.1 (21611 bp)
chr NW_026963656.1 (31880 bp)
chr NW_026963657.1 (17971 bp)
chr NW_026963658.1 (17181 bp)
chr NW_026963659.1 (21841 bp)
chr NW_026963660.1 (48676 bp)
chr NW_026963661.1 (19775 bp)
chr NW_026963662.1 (35568 bp)
chr NW_026963663.1 (21947 bp)
chr NW_026963664.1 (24250 bp)
chr NW_026963665.1 (21491 bp)
chr NW_026963666.1 (22260 bp)
chr NW_026963667.1 (28403 bp)
chr NW_026963668.1 (19543 bp)
chr NW_026963669.1 (59060 bp)
chr NW_026963670.1 (23088 bp)
chr NW_026963671.1 (25210 bp)
chr NW_026963672.1 (29503 bp)
chr NW_026963673.1 (26257 bp)
chr NW_026963674.1 (22982 bp)
chr NW_026963675.1 (20127 bp)
chr NW_026963676.1 (21567 bp)
chr NW_026963677.1 (25240 bp)
chr NW_026963678.1 (25959 bp)
chr NW_026963679.1 (23464 bp)
chr NW_026963680.1 (23133 bp)
chr NW_026963681.1 (22873 bp)
chr NW_026963682.1 (27482 bp)
chr NW_026963683.1 (23835 bp)
chr NW_026963684.1 (18595 bp)
chr NW_026963685.1 (25677 bp)
chr NW_026963686.1 (25352 bp)
chr NW_026963687.1 (26654 bp)
chr NW_026963688.1 (16682 bp)
chr NW_026963689.1 (43634 bp)
chr NW_026963690.1 (20473 bp)
chr NW_026963691.1 (24782 bp)
chr NW_026963692.1 (27429 bp)
chr NW_026963693.1 (22023 bp)
chr NW_026963694.1 (22432 bp)
chr NW_026963695.1 (27801 bp)
chr NW_026963696.1 (89040 bp)
chr NW_026963697.1 (29127 bp)
chr NW_026963698.1 (22758 bp)
chr NW_026963699.1 (21265 bp)
chr NW_026963700.1 (32610 bp)
chr NW_026963701.1 (40879 bp)
chr NW_026963702.1 (25242 bp)
chr NW_026963703.1 (27008 bp)
chr NW_026963704.1 (21375 bp)
chr NW_026963705.1 (33180 bp)
chr NW_026963706.1 (26193 bp)
chr NW_026963707.1 (21669 bp)
chr NW_026963708.1 (25618 bp)
chr NW_026963709.1 (25056 bp)
chr NW_026963710.1 (22608 bp)
chr NW_026963711.1 (23115 bp)
chr NW_026963712.1 (22043 bp)
chr NW_026963713.1 (25891 bp)
chr NW_026963714.1 (24871 bp)
chr NW_026963715.1 (22811 bp)
chr NW_026963716.1 (38945 bp)
chr NW_026963717.1 (35514 bp)
chr NW_026963718.1 (21356 bp)
chr NW_026963719.1 (28341 bp)
chr NW_026963720.1 (20602 bp)
chr NW_026963721.1 (20995 bp)
chr NW_026963722.1 (21623 bp)
chr NW_026963723.1 (22869 bp)
chr NW_026963724.1 (22118 bp)
chr NW_026963725.1 (27787 bp)
chr NW_026963726.1 (28118 bp)
chr NW_026963727.1 (22374 bp)
chr NW_026963728.1 (26688 bp)
chr NW_026963729.1 (18680 bp)
chr NW_026963730.1 (26877 bp)
chr NW_026963731.1 (22152 bp)
chr NW_026963732.1 (21122 bp)
chr NW_026963733.1 (30669 bp)
chr NW_026963734.1 (21233 bp)
chr NW_026963735.1 (20919 bp)
chr NW_026963736.1 (26026 bp)
chr NW_026963737.1 (15473 bp)
chr NW_026963738.1 (23824 bp)
chr NW_026963739.1 (19804 bp)
chr NW_026963740.1 (17713 bp)
chr NW_026963741.1 (20707 bp)
chr NW_026963742.1 (18963 bp)
chr NW_026963743.1 (21370 bp)
chr NW_026963744.1 (22821 bp)
chr NW_026963745.1 (20669 bp)
chr NW_026963746.1 (25286 bp)
chr NW_026963747.1 (21276 bp)
chr NW_026963748.1 (22489 bp)
chr NW_026963749.1 (18369 bp)
chr NW_026963750.1 (22802 bp)
chr NW_026963751.1 (24575 bp)
chr NW_026963752.1 (23655 bp)
chr NW_026963753.1 (26162 bp)
chr NW_026963754.1 (23060 bp)
chr NW_026963755.1 (23954 bp)
chr NW_026963756.1 (21792 bp)
chr NW_026963757.1 (32711 bp)
chr NW_026963758.1 (26150 bp)
chr NW_026963759.1 (24511 bp)
chr NW_026963760.1 (21863 bp)
chr NW_026963761.1 (29603 bp)
chr NW_026963762.1 (14940 bp)
chr NW_026963763.1 (20415 bp)
chr NW_026963764.1 (28644 bp)
chr NW_026963765.1 (26859 bp)
chr NW_026963766.1 (21572 bp)
chr NW_026963767.1 (11867 bp)
chr NW_026963768.1 (22422 bp)
chr NW_026963769.1 (19132 bp)
chr NW_026963770.1 (17338 bp)
chr NW_026963771.1 (24159 bp)
chr NW_026963772.1 (22295 bp)
chr NW_026963773.1 (15046 bp)
chr NW_026963774.1 (18598 bp)
chr NW_026963775.1 (22167 bp)
chr NW_026963776.1 (16973 bp)
chr NW_026963777.1 (18602 bp)
chr NW_026963778.1 (24241 bp)
chr NW_026963779.1 (27924 bp)
chr NW_026963780.1 (25424 bp)
chr NW_026963781.1 (28413 bp)
chr NW_026963782.1 (20838 bp)
chr NW_026963783.1 (22467 bp)
chr NW_026963784.1 (25012 bp)
chr NW_026963785.1 (13181 bp)
chr NW_026963786.1 (18105 bp)
chr NW_026963787.1 (18769 bp)
chr NW_026963788.1 (21775 bp)
chr NW_026963789.1 (26327 bp)
chr NW_026963790.1 (14514 bp)
chr NW_026963791.1 (20050 bp)
chr NW_026963792.1 (18784 bp)
chr NW_026963793.1 (20749 bp)
chr NW_026963794.1 (13251 bp)
chr NW_026963795.1 (20766 bp)
chr NW_026963796.1 (23492 bp)
chr NW_026963797.1 (20235 bp)
chr NW_026963798.1 (13457 bp)
chr NW_026963799.1 (17957 bp)
chr NW_026963800.1 (22384 bp)
chr NW_026963801.1 (31865 bp)
chr NW_026963802.1 (24022 bp)
chr NW_026963803.1 (26219 bp)
chr NW_026963804.1 (24043 bp)
chr NW_026963805.1 (28961 bp)
chr NW_026963806.1 (14045 bp)
chr NW_026963807.1 (15082 bp)
chr NW_026963808.1 (24314 bp)
chr NW_026963809.1 (20441 bp)
chr NW_026963810.1 (10923 bp)
chr NW_026963811.1 (26407 bp)
chr NW_026963812.1 (14166 bp)
chr NW_026963813.1 (10138 bp)
chr NW_026963814.1 (8703 bp)
chr NW_026963815.1 (16400 bp)
chr NC_007687.1 (18652 bp)

Stored sequence information of 541 chromosomes/scaffolds in total

==============================================================================
Methylation information will now be written into a genome-wide cytosine report
==============================================================================

Adding context-specific methylation summaries

>>> Writing genome-wide cytosine report to: output/25-meth-extract/93M.CpG_report.txt <<<

>>> Writing all cytosine context summary file to: output/25-meth-extract/93M.cytosine_context_summary.txt <<<

Storing all covered cytosine positions for chromosome: NC_007687.1
Writing cytosine report for chromosome NC_007687.1 (stored 414 different covered positions)
Writing cytosine report for chromosome NC_086373.1 (stored 2812782 different covered positions)
Writing cytosine report for chromosome NC_086374.1 (stored 2766520 different covered positions)
Writing cytosine report for chromosome NC_086375.1 (stored 2233200 different covered positions)
Writing cytosine report for chromosome NC_086376.1 (stored 2441416 different covered positions)
Writing cytosine report for chromosome NC_086377.1 (stored 2005015 different covered positions)
Writing cytosine report for chromosome NC_086378.1 (stored 2137309 different covered positions)
Writing cytosine report for chromosome NC_086379.1 (stored 2077521 different covered positions)
Writing cytosine report for chromosome NC_086380.1 (stored 1730750 different covered positions)
Writing cytosine report for chromosome NC_086381.1 (stored 1871764 different covered positions)
Writing cytosine report for chromosome NC_086382.1 (stored 1833670 different covered positions)
Writing cytosine report for chromosome NC_086383.1 (stored 1590266 different covered positions)
Writing cytosine report for chromosome NC_086384.1 (stored 1481492 different covered positions)
Writing cytosine report for chromosome NC_086385.1 (stored 1347863 different covered positions)
Writing cytosine report for chromosome NC_086386.1 (stored 1872326 different covered positions)
Writing cytosine report for chromosome NW_026963290.1 (stored 175103 different covered positions)
Writing cytosine report for chromosome NW_026963291.1 (stored 1866 different covered positions)
Writing cytosine report for chromosome NW_026963292.1 (stored 102590 different covered positions)
Writing cytosine report for chromosome NW_026963293.1 (stored 12826 different covered positions)
Writing cytosine report for chromosome NW_026963294.1 (stored 121616 different covered positions)
Writing cytosine report for chromosome NW_026963295.1 (stored 131075 different covered positions)
Writing cytosine report for chromosome NW_026963296.1 (stored 65190 different covered positions)
Writing cytosine report for chromosome NW_026963297.1 (stored 80428 different covered positions)
Writing cytosine report for chromosome NW_026963298.1 (stored 72766 different covered positions)
Writing cytosine report for chromosome NW_026963299.1 (stored 7155 different covered positions)
Writing cytosine report for chromosome NW_026963300.1 (stored 4065 different covered positions)
Writing cytosine report for chromosome NW_026963301.1 (stored 92045 different covered positions)
Writing cytosine report for chromosome NW_026963302.1 (stored 98153 different covered positions)
Writing cytosine report for chromosome NW_026963303.1 (stored 6261 different covered positions)
Writing cytosine report for chromosome NW_026963304.1 (stored 89234 different covered positions)
Writing cytosine report for chromosome NW_026963305.1 (stored 32876 different covered positions)
Writing cytosine report for chromosome NW_026963306.1 (stored 532 different covered positions)
Writing cytosine report for chromosome NW_026963307.1 (stored 2934 different covered positions)
Writing cytosine report for chromosome NW_026963308.1 (stored 7330 different covered positions)
Writing cytosine report for chromosome NW_026963309.1 (stored 15549 different covered positions)
Writing cytosine report for chromosome NW_026963310.1 (stored 70639 different covered positions)
Writing cytosine report for chromosome NW_026963311.1 (stored 30192 different covered positions)
Writing cytosine report for chromosome NW_026963312.1 (stored 17506 different covered positions)
Writing cytosine report for chromosome NW_026963313.1 (stored 16216 different covered positions)
Writing cytosine report for chromosome NW_026963314.1 (stored 64234 different covered positions)
Writing cytosine report for chromosome NW_026963315.1 (stored 60850 different covered positions)
Writing cytosine report for chromosome NW_026963316.1 (stored 11168 different covered positions)
Writing cytosine report for chromosome NW_026963317.1 (stored 80375 different covered positions)
Writing cytosine report for chromosome NW_026963318.1 (stored 66989 different covered positions)
Writing cytosine report for chromosome NW_026963319.1 (stored 6426 different covered positions)
Writing cytosine report for chromosome NW_026963320.1 (stored 2456 different covered positions)
Writing cytosine report for chromosome NW_026963321.1 (stored 17405 different covered positions)
Writing cytosine report for chromosome NW_026963322.1 (stored 13039 different covered positions)
Writing cytosine report for chromosome NW_026963323.1 (stored 2640 different covered positions)
Writing cytosine report for chromosome NW_026963324.1 (stored 2047 different covered positions)
Writing cytosine report for chromosome NW_026963325.1 (stored 73 different covered positions)
Writing cytosine report for chromosome NW_026963326.1 (stored 1803 different covered positions)
Writing cytosine report for chromosome NW_026963327.1 (stored 82 different covered positions)
Writing cytosine report for chromosome NW_026963329.1 (stored 4321 different covered positions)
Writing cytosine report for chromosome NW_026963330.1 (stored 512 different covered positions)
Writing cytosine report for chromosome NW_026963331.1 (stored 478 different covered positions)
Writing cytosine report for chromosome NW_026963332.1 (stored 22829 different covered positions)
Writing cytosine report for chromosome NW_026963333.1 (stored 3012 different covered positions)
Writing cytosine report for chromosome NW_026963334.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963335.1 (stored 9500 different covered positions)
Writing cytosine report for chromosome NW_026963336.1 (stored 61 different covered positions)
Writing cytosine report for chromosome NW_026963337.1 (stored 13140 different covered positions)
Writing cytosine report for chromosome NW_026963338.1 (stored 8334 different covered positions)
Writing cytosine report for chromosome NW_026963339.1 (stored 2356 different covered positions)
Writing cytosine report for chromosome NW_026963340.1 (stored 76748 different covered positions)
Writing cytosine report for chromosome NW_026963341.1 (stored 996 different covered positions)
Writing cytosine report for chromosome NW_026963342.1 (stored 5356 different covered positions)
Writing cytosine report for chromosome NW_026963343.1 (stored 9143 different covered positions)
Writing cytosine report for chromosome NW_026963344.1 (stored 2469 different covered positions)
Writing cytosine report for chromosome NW_026963345.1 (stored 5862 different covered positions)
Writing cytosine report for chromosome NW_026963346.1 (stored 12631 different covered positions)
Writing cytosine report for chromosome NW_026963347.1 (stored 22892 different covered positions)
Writing cytosine report for chromosome NW_026963348.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963349.1 (stored 531 different covered positions)
Writing cytosine report for chromosome NW_026963350.1 (stored 17689 different covered positions)
Writing cytosine report for chromosome NW_026963351.1 (stored 16 different covered positions)
Writing cytosine report for chromosome NW_026963352.1 (stored 5156 different covered positions)
Writing cytosine report for chromosome NW_026963354.1 (stored 8004 different covered positions)
Writing cytosine report for chromosome NW_026963355.1 (stored 929 different covered positions)
Writing cytosine report for chromosome NW_026963356.1 (stored 42 different covered positions)
Writing cytosine report for chromosome NW_026963357.1 (stored 10381 different covered positions)
