"gene_id","chr","start","end","width","cpg_oe"
"gene-LOC134712356","NC_086373.1",2671610,2702389,30780,0.378376145058835
"gene-LOC134712363","NC_086373.1",2704856,2722718,17863,0.343592318629208
"gene-LOC134706231","NC_086373.1",2734735,2736283,1549,0.898290725004249
"gene-LOC134698923","NC_086373.1",2739744,2748643,8900,0.773044053235182
"gene-LOC134706235","NC_086373.1",2749616,2755900,6285,0.801149385639623
"gene-LOC134706240","NC_086373.1",2774107,2775210,1104,0.90323080039994
"gene-LOC134698932","NC_086373.1",2807623,2859959,52337,0.851690599682932
"gene-LOC134712379","NC_086373.1",2897222,2937040,39819,0.467012346518651
"gene-LOC134712400","NC_086373.1",2945800,3000345,54546,0.813615013305047
"gene-LOC134712416","NC_086373.1",3004971,3024748,19778,0.817534194159677
"gene-LOC134706247","NC_086373.1",3068550,3102470,33921,0.878299617774167
"gene-LOC134706255","NC_086373.1",3137311,3139172,1862,0.943864898847661
"gene-LOC134698943","NC_086373.1",3179076,3182048,2973,0.871799981377884
"gene-LOC134698952","NC_086373.1",3182228,3183061,834,1.09677577038155
"gene-LOC134712425","NC_086373.1",3213730,3217774,4045,0.73819442993645
"gene-LOC134712431","NC_086373.1",3233781,3239646,5866,0.739285494519054
"gene-LOC134712446","NC_086373.1",3271991,3275071,3081,0.612270796770797
"gene-LOC134706261","NC_086373.1",3296073,3314094,18022,0.776715095054472
"gene-LOC134712453","NC_086373.1",3322369,3331184,8816,0.813265781156827
"gene-LOC134712468","NC_086373.1",3348784,3353934,5151,0.843828062162421
"gene-LOC134698962","NC_086373.1",3398943,3411934,12992,0.339253699851882
"gene-LOC134712473","NC_086373.1",3412737,3419382,6646,0.436693491330277
"gene-LOC134698971","NC_086373.1",3429796,3430620,825,0.439479230429494
"gene-LOC134712479","NC_086373.1",3507459,3561245,53787,0.369547152952796
"gene-LOC134712510","NC_086373.1",3565851,3571443,5593,1.08889545403169
"gene-LOC134712523","NC_086373.1",3576490,3580183,3694,1.09210796078491
"gene-LOC134712487","NC_086373.1",3577013,3606587,29575,0.505620794686641
"gene-LOC134698992","NC_086373.1",3611132,3611671,540,0.327879912295497
"gene-LOC134706270","NC_086373.1",3626702,3634277,7576,0.929899140307423
"gene-LOC134699001","NC_086373.1",3664219,3676897,12679,0.879381989658023
"gene-LOC134699009","NC_086373.1",3690806,3751922,61117,0.57765516507878
"gene-LOC134706275","NC_086373.1",3735542,3736364,823,0.843145580911593
"gene-LOC134712531","NC_086373.1",3752479,3788247,35769,0.378295727827947
"gene-LOC134712543","NC_086373.1",3789064,3800613,11550,0.544014013206187
"gene-LOC134712547","NC_086373.1",3800570,3804299,3730,0.549731722619268
"gene-LOC134712552","NC_086373.1",3805966,3849713,43748,0.429303469271885
"gene-LOC134712548","NC_086373.1",3853043,3854992,1950,0.758963362504747
"gene-LOC134712560","NC_086373.1",3862668,3901043,38376,0.309967625711382
"gene-LOC134712589","NC_086373.1",3905127,3918008,12882,0.526140635894819
"gene-LOC134712583","NC_086373.1",3913078,3915119,2042,0.85634751075996
"gene-LOC134706279","NC_086373.1",3961815,3963264,1450,0.800331323845077
"gene-LOC134706286","NC_086373.1",3972620,3978381,5762,0.783296049612092
"gene-LOC134712596","NC_086373.1",4008147,4021125,12979,0.815755452807328
"gene-LOC134712609","NC_086373.1",4009197,4014507,5311,0.792213528870914
"gene-LOC134706292","NC_086373.1",4029817,4031676,1860,0.899732931083198
"gene-LOC134712618","NC_086373.1",4044411,4067569,23159,0.375552909972412
"gene-LOC134712630","NC_086373.1",4067713,4145489,77777,0.274075980198353
"gene-LOC134712647","NC_086373.1",4079028,4114010,34983,0.273664981722223
"gene-LOC134712652","NC_086373.1",4152964,4159587,6624,0.793688237219375
"gene-LOC134706297","NC_086373.1",4166157,4190572,24416,0.849452871149307
"gene-LOC134712661","NC_086373.1",4201277,4225324,24048,0.425268663411916
"gene-LOC134712674","NC_086373.1",4291733,4350349,58617,0.353654299841565
"gene-LOC134712682","NC_086373.1",4351215,4356964,5750,0.481030889885402
"gene-LOC134712685","NC_086373.1",4375892,4378394,2503,0.71289190145412
"gene-LOC134706300","NC_086373.1",4382054,4386066,4013,0.874895175283838
"gene-LOC134712692","NC_086373.1",4391162,4437967,46806,0.353688246122047
"gene-LOC134712707","NC_086373.1",4441252,4457468,16217,0.386398913835417
"gene-LOC134706305","NC_086373.1",4463341,4464153,813,0.735543281500386
"gene-LOC134706312","NC_086373.1",4467653,4468557,905,0.870345934414829
"gene-LOC134712714","NC_086373.1",4471478,4481010,9533,0.429277460583416
"gene-LOC134712721","NC_086373.1",4484266,4526281,42016,0.504645060068112
"gene-LOC134712733","NC_086373.1",4533972,4541528,7557,0.415930545989119
"gene-LOC134712757","NC_086373.1",4542712,4554244,11533,0.447540363886665
"gene-LOC134712743","NC_086373.1",4562607,4570853,8247,0.599553174603592
"gene-LOC134712748","NC_086373.1",4577850,4584715,6866,0.770849135422194
"gene-LOC134712767","NC_086373.1",4587294,4593585,6292,0.723385755672353
"gene-LOC134712775","NC_086373.1",4595789,4611198,15410,0.795169165855463
"gene-LOC134712782","NC_086373.1",4613268,4620351,7084,0.723878408757697
"gene-LOC134712795","NC_086373.1",4629452,4636822,7371,0.34894708538185
"gene-LOC134699019","NC_086373.1",4640165,4640635,471,0.725041670752035
"gene-LOC134712788","NC_086373.1",4647780,4658403,10624,0.334320735419176
"gene-LOC134712799","NC_086373.1",4658195,4667697,9503,0.230757008435422
"gene-LOC134712808","NC_086373.1",4670011,4671058,1048,0.704587934423743
"gene-LOC134706319","NC_086373.1",4690157,4695381,5225,0.802663531833223
"gene-LOC134699027","NC_086373.1",4718072,4749741,31670,0.866638978935663
"gene-LOC134699295","NC_086373.1",4772130,4772248,119,1.3334274952919
"gene-LOC134700116","NC_086373.1",4772391,4772509,119,1.3334274952919
"gene-LOC134700915","NC_086373.1",4774492,4774610,119,1.3334274952919
"gene-LOC134701643","NC_086373.1",4774753,4774871,119,1.3334274952919
"gene-LOC134702451","NC_086373.1",4776854,4776972,119,1.3334274952919
"gene-LOC134699337","NC_086373.1",4777115,4777233,119,1.3334274952919
"gene-LOC134699047","NC_086373.1",4779251,4780651,1401,0.478661903136126
"gene-LOC134699413","NC_086373.1",4786182,4786300,119,1.3334274952919
"gene-LOC134699487","NC_086373.1",4786445,4786563,119,1.3334274952919
"gene-LOC134699554","NC_086373.1",4795231,4795349,119,1.3334274952919
"gene-LOC134699671","NC_086373.1",4795494,4795612,119,1.3334274952919
"gene-LOC134699771","NC_086373.1",4803979,4804097,119,1.3334274952919
"gene-LOC134699849","NC_086373.1",4804241,4804359,119,1.3334274952919
"gene-LOC134706325","NC_086373.1",4804687,4805283,597,0.363868705408554
"gene-LOC134702637","NC_086373.1",4811317,4811435,119,1.33883693746347
"gene-LOC134699925","NC_086373.1",4811579,4811697,119,1.3334274952919
"gene-LOC134702645","NC_086373.1",4813659,4813777,119,1.33883693746347
"gene-LOC134699993","NC_086373.1",4813918,4814036,119,1.3334274952919
"gene-LOC134706329","NC_086373.1",4814364,4814960,597,0.363868705408554
"gene-LOC134702653","NC_086373.1",4815998,4816116,119,1.33883693746347
"gene-LOC134700076","NC_086373.1",4816260,4816378,119,1.3334274952919
"gene-LOC134706335","NC_086373.1",4816706,4817302,597,0.363868705408554
"gene-LOC134700160","NC_086373.1",4818340,4818458,119,1.3334274952919
"gene-LOC134700235","NC_086373.1",4818602,4818720,119,1.3334274952919
"gene-LOC134706346","NC_086373.1",4819048,4819644,597,0.363868705408554
"gene-LOC134700309","NC_086373.1",4820682,4820800,119,1.3334274952919
"gene-LOC134700376","NC_086373.1",4820944,4821062,119,1.3334274952919
"gene-LOC134706353","NC_086373.1",4821390,4821986,597,0.363868705408554
"gene-LOC134700426","NC_086373.1",4823024,4823142,119,1.3334274952919
"gene-LOC134700497","NC_086373.1",4823286,4823404,119,1.3334274952919
"gene-LOC134706358","NC_086373.1",4823732,4824328,597,0.363868705408554
"gene-LOC134700568","NC_086373.1",4828276,4828394,119,1.3334274952919
"gene-LOC134700654","NC_086373.1",4828538,4828656,119,1.3334274952919
"gene-LOC134706364","NC_086373.1",4828984,4829580,597,0.363868705408554
"gene-LOC134700777","NC_086373.1",4830618,4830736,119,1.3334274952919
"gene-LOC134700874","NC_086373.1",4830880,4830998,119,1.3334274952919
"gene-LOC134706372","NC_086373.1",4831326,4831922,597,0.363868705408554
"gene-LOC134700957","NC_086373.1",4832960,4833078,119,1.3334274952919
"gene-LOC134701027","NC_086373.1",4833222,4833340,119,1.3334274952919
"gene-LOC134706379","NC_086373.1",4833668,4834264,597,0.363868705408554
"gene-LOC134701103","NC_086373.1",4835302,4835420,119,1.3334274952919
"gene-LOC134701169","NC_086373.1",4835564,4835682,119,1.3334274952919
"gene-LOC134706386","NC_086373.1",4836010,4836606,597,0.363868705408554
"gene-LOC134701243","NC_086373.1",4837644,4837762,119,1.3334274952919
"gene-LOC134701313","NC_086373.1",4837906,4838024,119,1.3334274952919
"gene-LOC134706393","NC_086373.1",4838352,4838948,597,0.363868705408554
"gene-LOC134701382","NC_086373.1",4839986,4840104,119,1.3334274952919
"gene-LOC134701446","NC_086373.1",4840248,4840366,119,1.3334274952919
"gene-LOC134706401","NC_086373.1",4840694,4841290,597,0.363868705408554
"gene-LOC134701526","NC_086373.1",4842328,4842446,119,1.3334274952919
"gene-LOC134701601","NC_086373.1",4842590,4842708,119,1.3334274952919
"gene-LOC134701681","NC_086373.1",4844670,4844788,119,1.3334274952919
"gene-LOC134701748","NC_086373.1",4844932,4845050,119,1.3334274952919
"gene-LOC134701828","NC_086373.1",4847012,4847130,119,1.3334274952919
"gene-LOC134701905","NC_086373.1",4847274,4847392,119,1.3334274952919
"gene-LOC134701968","NC_086373.1",4849354,4849472,119,1.3334274952919
"gene-LOC134702049","NC_086373.1",4849616,4849734,119,1.3334274952919
"gene-LOC134702118","NC_086373.1",4851696,4851814,119,1.3334274952919
"gene-LOC134702197","NC_086373.1",4851957,4852075,119,1.3334274952919
"gene-LOC134702305","NC_086373.1",4854037,4854155,119,1.3334274952919
"gene-LOC134702409","NC_086373.1",4854299,4854417,119,1.3334274952919
"gene-LOC134702501","NC_086373.1",4856379,4856497,119,1.3334274952919
"gene-LOC134702619","NC_086373.1",4856641,4856759,119,1.3334274952919
"gene-LOC134702723","NC_086373.1",4858721,4858839,119,1.3334274952919
"gene-LOC134702792","NC_086373.1",4858983,4859101,119,1.3334274952919
"gene-LOC134702664","NC_086373.1",4861063,4861181,119,1.33883693746347
"gene-LOC134702899","NC_086373.1",4861325,4861443,119,1.3334274952919
"gene-LOC134699305","NC_086373.1",4876219,4876337,119,1.3334274952919
"gene-LOC134699311","NC_086373.1",4876481,4876599,119,1.3334274952919
"gene-LOC134699317","NC_086373.1",4878561,4878679,119,1.3334274952919
"gene-LOC134699324","NC_086373.1",4878823,4878941,119,1.3334274952919
"gene-LOC134699330","NC_086373.1",4880903,4881021,119,1.3334274952919
"gene-LOC134699343","NC_086373.1",4881165,4881283,119,1.3334274952919
"gene-LOC134699349","NC_086373.1",4883245,4883363,119,1.3334274952919
"gene-LOC134699357","NC_086373.1",4883507,4883625,119,1.3334274952919
"gene-LOC134699365","NC_086373.1",4885587,4885705,119,1.3334274952919
"gene-LOC134699373","NC_086373.1",4885849,4885967,119,1.3334274952919
"gene-LOC134699380","NC_086373.1",4887914,4888032,119,1.3334274952919
"gene-LOC134699387","NC_086373.1",4888176,4888294,119,1.3334274952919
"gene-LOC134699394","NC_086373.1",4890256,4890374,119,1.3334274952919
"gene-LOC134699400","NC_086373.1",4890518,4890636,119,1.3334274952919
"gene-LOC134699406","NC_086373.1",4892598,4892716,119,1.3334274952919
"gene-LOC134699421","NC_086373.1",4892860,4892978,119,1.3334274952919
"gene-LOC134699429","NC_086373.1",4894940,4895058,119,1.3334274952919
"gene-LOC134699433","NC_086373.1",4895202,4895320,119,1.3334274952919
"gene-LOC134699439","NC_086373.1",4897282,4897400,119,1.3334274952919
"gene-LOC134699448","NC_086373.1",4897544,4897662,119,1.3334274952919
"gene-LOC134699456","NC_086373.1",4899624,4899742,119,1.3334274952919
"gene-LOC134699462","NC_086373.1",4899886,4900004,119,1.3334274952919
"gene-LOC134699470","NC_086373.1",4901966,4902084,119,1.3334274952919
"gene-LOC134699476","NC_086373.1",4902228,4902346,119,1.3334274952919
"gene-LOC134699484","NC_086373.1",4904308,4904426,119,1.3334274952919
"gene-LOC134699488","NC_086373.1",4904570,4904688,119,1.3334274952919
"gene-LOC134699493","NC_086373.1",4906650,4906768,119,1.3334274952919
"gene-LOC134699501","NC_086373.1",4906912,4907030,119,1.3334274952919
"gene-LOC134699509","NC_086373.1",4908992,4909110,119,1.3334274952919
"gene-LOC134699515","NC_086373.1",4909254,4909372,119,1.3334274952919
"gene-LOC134699521","NC_086373.1",4911334,4911452,119,1.3334274952919
"gene-LOC134699527","NC_086373.1",4911596,4911714,119,1.3334274952919
"gene-LOC134699531","NC_086373.1",4913676,4913794,119,1.3334274952919
"gene-LOC134699539","NC_086373.1",4913938,4914056,119,1.3334274952919
"gene-LOC134699547","NC_086373.1",4916018,4916136,119,1.3334274952919
"gene-LOC134699562","NC_086373.1",4916280,4916398,119,1.3334274952919
"gene-LOC134699572","NC_086373.1",4918360,4918478,119,1.3334274952919
"gene-LOC134699583","NC_086373.1",4918622,4918740,119,1.3334274952919
"gene-LOC134699594","NC_086373.1",4920703,4920821,119,1.3334274952919
"gene-LOC134699605","NC_086373.1",4920965,4921083,119,1.3334274952919
"gene-LOC134699616","NC_086373.1",4923045,4923163,119,1.3334274952919
"gene-LOC134699627","NC_086373.1",4923307,4923425,119,1.3334274952919
"gene-LOC134699638","NC_086373.1",4925387,4925505,119,1.3334274952919
"gene-LOC134699649","NC_086373.1",4925649,4925767,119,1.3334274952919
"gene-LOC134699660","NC_086373.1",4927729,4927847,119,1.3334274952919
"gene-LOC134699682","NC_086373.1",4927991,4928109,119,1.3334274952919
"gene-LOC134699693","NC_086373.1",4931349,4931467,119,1.3334274952919
"gene-LOC134699704","NC_086373.1",4931611,4931729,119,1.3334274952919
"gene-LOC134699717","NC_086373.1",4933691,4933809,119,1.3334274952919
"gene-LOC134699726","NC_086373.1",4933953,4934071,119,1.3334274952919
"gene-LOC134699732","NC_086373.1",4936033,4936151,119,1.3334274952919
"gene-LOC134699740","NC_086373.1",4936295,4936413,119,1.3334274952919
"gene-LOC134699746","NC_086373.1",4938375,4938493,119,1.3334274952919
"gene-LOC134699755","NC_086373.1",4938637,4938755,119,1.3334274952919
"gene-LOC134699764","NC_086373.1",4947141,4947259,119,1.3334274952919
"gene-LOC134699779","NC_086373.1",4947403,4947521,119,1.3334274952919
"gene-LOC134699786","NC_086373.1",4949483,4949601,119,1.3334274952919
"gene-LOC134699794","NC_086373.1",4949745,4949863,119,1.3334274952919
"gene-LOC134699800","NC_086373.1",4951825,4951943,119,1.3334274952919
"gene-LOC134699806","NC_086373.1",4952087,4952205,119,1.3334274952919
"gene-LOC134699812","NC_086373.1",4954167,4954285,119,1.3334274952919
"gene-LOC134699820","NC_086373.1",4954429,4954547,119,1.3334274952919
"gene-LOC134699828","NC_086373.1",4956509,4956627,119,1.3334274952919
"gene-LOC134699834","NC_086373.1",4958522,4958640,119,1.3334274952919
"gene-LOC134699842","NC_086373.1",4958785,4958903,119,1.3334274952919
"gene-LOC134699856","NC_086373.1",4960882,4961000,119,1.3334274952919
"gene-LOC134699863","NC_086373.1",4961145,4961263,119,1.3334274952919
"gene-LOC134699869","NC_086373.1",4963242,4963360,119,1.3334274952919
"gene-LOC134699876","NC_086373.1",4963505,4963623,119,1.3334274952919
"gene-LOC134699884","NC_086373.1",4965602,4965720,119,1.3334274952919
"gene-LOC134699891","NC_086373.1",4965865,4965983,119,1.3334274952919
"gene-LOC134699058","NC_086373.1",4969096,4970862,1767,0.739966754347115
"gene-LOC134699898","NC_086373.1",4973284,4973402,119,1.3334274952919
"gene-LOC134699905","NC_086373.1",4973547,4973665,119,1.3334274952919
"gene-LOC134699911","NC_086373.1",4975644,4975762,119,1.3334274952919
"gene-LOC134699919","NC_086373.1",4975907,4976025,119,1.3334274952919
"gene-LOC134699931","NC_086373.1",4978004,4978122,119,1.3334274952919
"gene-LOC134699936","NC_086373.1",4978267,4978385,119,1.3334274952919
"gene-LOC134699942","NC_086373.1",4980364,4980482,119,1.3334274952919
"gene-LOC134699947","NC_086373.1",4980627,4980745,119,1.3334274952919
"gene-LOC134699953","NC_086373.1",4982724,4982842,119,1.3334274952919
"gene-LOC134702675","NC_086373.1",4982987,4983104,118,1.36791433343157
"gene-LOC134699961","NC_086373.1",4986330,4986448,119,1.3334274952919
"gene-LOC134699968","NC_086373.1",4986593,4986711,119,1.3334274952919
"gene-LOC134699973","NC_086373.1",4988690,4988808,119,1.3334274952919
"gene-LOC134699980","NC_086373.1",4988953,4989071,119,1.3334274952919
"gene-LOC134699988","NC_086373.1",4991050,4991168,119,1.3334274952919
"gene-LOC134700000","NC_086373.1",4991313,4991431,119,1.3334274952919
"gene-LOC134700007","NC_086373.1",4993410,4993528,119,1.3334274952919
"gene-LOC134700014","NC_086373.1",4993673,4993791,119,1.3334274952919
"gene-LOC134700021","NC_086373.1",4995770,4995888,119,1.3334274952919
"gene-LOC134700030","NC_086373.1",4996033,4996151,119,1.3334274952919
"gene-LOC134700039","NC_086373.1",4998130,4998248,119,1.3334274952919
"gene-LOC134700044","NC_086373.1",4998393,4998511,119,1.3334274952919
"gene-LOC134700053","NC_086373.1",5000487,5000605,119,1.3334274952919
"gene-LOC134700060","NC_086373.1",5000750,5000868,119,1.3334274952919
"gene-LOC134700069","NC_086373.1",5002847,5002965,119,1.3334274952919
"gene-LOC134700083","NC_086373.1",5003110,5003228,119,1.3334274952919
"gene-LOC134700091","NC_086373.1",5005207,5005325,119,1.3334274952919
"gene-LOC134700099","NC_086373.1",5005470,5005588,119,1.3334274952919
"gene-LOC134700102","NC_086373.1",5007567,5007685,119,1.3334274952919
"gene-LOC134700109","NC_086373.1",5007830,5007948,119,1.3334274952919
"gene-LOC134700123","NC_086373.1",5009927,5010045,119,1.3334274952919
"gene-LOC134700129","NC_086373.1",5010190,5010308,119,1.3334274952919
"gene-LOC134700138","NC_086373.1",5011071,5011189,119,1.3334274952919
"gene-LOC134700146","NC_086373.1",5011334,5011452,119,1.3334274952919
"gene-LOC134700152","NC_086373.1",5013431,5013549,119,1.3334274952919
"gene-LOC134700165","NC_086373.1",5013694,5013812,119,1.3334274952919
"gene-LOC134700172","NC_086373.1",5015791,5015909,119,1.3334274952919
"gene-LOC134700178","NC_086373.1",5016054,5016172,119,1.3334274952919
"gene-LOC134700186","NC_086373.1",5018151,5018269,119,1.3334274952919
"gene-LOC134700193","NC_086373.1",5018414,5018532,119,1.3334274952919
"gene-LOC134700200","NC_086373.1",5020511,5020629,119,1.3334274952919
"gene-LOC134700209","NC_086373.1",5020774,5020892,119,1.3334274952919
"gene-LOC134700216","NC_086373.1",5023499,5023617,119,1.3334274952919
"gene-LOC134700222","NC_086373.1",5023762,5023880,119,1.3334274952919
"gene-LOC134700227","NC_086373.1",5025859,5025977,119,1.3334274952919
"gene-LOC134700241","NC_086373.1",5026122,5026240,119,1.3334274952919
"gene-LOC134700247","NC_086373.1",5028219,5028337,119,1.3334274952919
"gene-LOC134700254","NC_086373.1",5028482,5028600,119,1.3334274952919
"gene-LOC134700260","NC_086373.1",5030579,5030697,119,1.3334274952919
"gene-LOC134700266","NC_086373.1",5030842,5030960,119,1.3334274952919
"gene-LOC134700274","NC_086373.1",5032939,5033057,119,1.3334274952919
"gene-LOC134700280","NC_086373.1",5033202,5033320,119,1.3334274952919
"gene-LOC134700287","NC_086373.1",5035299,5035417,119,1.3334274952919
"gene-LOC134700294","NC_086373.1",5035562,5035680,119,1.3334274952919
"gene-LOC134700301","NC_086373.1",5037461,5037579,119,1.3334274952919
"gene-LOC134700317","NC_086373.1",5039558,5039676,119,1.3334274952919
"gene-LOC134700322","NC_086373.1",5039821,5039939,119,1.3334274952919
"gene-LOC134700329","NC_086373.1",5041918,5042036,119,1.3334274952919
"gene-LOC134700332","NC_086373.1",5042181,5042299,119,1.3334274952919
"gene-LOC134700339","NC_086373.1",5044278,5044396,119,1.3334274952919
"gene-LOC134700344","NC_086373.1",5044541,5044659,119,1.3334274952919
"gene-LOC134700350","NC_086373.1",5046638,5046756,119,1.3334274952919
"gene-LOC134700358","NC_086373.1",5046901,5047019,119,1.3334274952919
"gene-LOC134700366","NC_086373.1",5048998,5049116,119,1.3334274952919
"gene-LOC134700374","NC_086373.1",5049261,5049379,119,1.3334274952919
"gene-LOC134700381","NC_086373.1",5051358,5051476,119,1.3334274952919
"gene-LOC134700382","NC_086373.1",5051621,5051739,119,1.3334274952919
"gene-LOC134700383","NC_086373.1",5053718,5053836,119,1.3334274952919
"gene-LOC134700387","NC_086373.1",5053981,5054099,119,1.3334274952919
"gene-LOC134700394","NC_086373.1",5056078,5056196,119,1.3334274952919
"gene-LOC134700399","NC_086373.1",5056341,5056459,119,1.3334274952919
"gene-LOC134700400","NC_086373.1",5058440,5058558,119,1.3334274952919
"gene-LOC134700404","NC_086373.1",5058704,5058822,119,1.3334274952919
"gene-LOC134700411","NC_086373.1",5060604,5060722,119,1.3334274952919
"gene-LOC134700418","NC_086373.1",5060866,5060984,119,1.3334274952919
"gene-LOC134700432","NC_086373.1",5062946,5063064,119,1.3334274952919
"gene-LOC134700440","NC_086373.1",5063208,5063326,119,1.3334274952919
"gene-LOC134700446","NC_086373.1",5065288,5065406,119,1.3334274952919
"gene-LOC134700452","NC_086373.1",5065550,5065668,119,1.3334274952919
"gene-LOC134700457","NC_086373.1",5067630,5067748,119,1.3334274952919
"gene-LOC134700463","NC_086373.1",5067892,5068010,119,1.3334274952919
"gene-LOC134700470","NC_086373.1",5076383,5076501,119,1.3334274952919
"gene-LOC134700477","NC_086373.1",5076645,5076763,119,1.3334274952919
"gene-LOC134700484","NC_086373.1",5078725,5078843,119,1.3334274952919
"gene-LOC134700491","NC_086373.1",5078987,5079105,119,1.3334274952919
"gene-LOC134702490","NC_086373.1",5081067,5081185,119,1.29420903954802
"gene-LOC134700503","NC_086373.1",5081329,5081447,119,1.3334274952919
"gene-LOC134700508","NC_086373.1",5083394,5083512,119,1.3334274952919
"gene-LOC134700516","NC_086373.1",5083656,5083774,119,1.3334274952919
"gene-LOC134700524","NC_086373.1",5085721,5085839,119,1.3334274952919
"gene-LOC134700528","NC_086373.1",5085983,5086101,119,1.3334274952919
"gene-LOC134700534","NC_086373.1",5088063,5088181,119,1.3334274952919
"gene-LOC134700542","NC_086373.1",5088325,5088443,119,1.3334274952919
"gene-LOC134700549","NC_086373.1",5090405,5090523,119,1.3334274952919
"gene-LOC134700556","NC_086373.1",5092485,5092603,119,1.3334274952919
"gene-LOC134700563","NC_086373.1",5092747,5092865,119,1.3334274952919
"gene-LOC134700575","NC_086373.1",5094827,5094945,119,1.3334274952919
"gene-LOC134700580","NC_086373.1",5095089,5095207,119,1.3334274952919
"gene-LOC134702610","NC_086373.1",5097169,5097287,119,1.33883693746347
"gene-LOC134700586","NC_086373.1",5097431,5097549,119,1.3334274952919
"gene-LOC134700593","NC_086373.1",5099511,5099629,119,1.3334274952919
